vek_txt,pohlavi_kod,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,99
0,1,26279,22,3,16,45,29,3,30,2409,72,3,0,1,2,4,3,1,14,0,123,39,3,0,1,9,1,35,9,7,3,67,2,0,0,0,2,0,0,0,0,475,32,228,4,0,1805,0,0,97,1,8,3,0,0,0,0,1,0,1,0,1,0,0,16,2,0,0,0,0,0,0,0,1,0,0,0,170,23696
0,2,25118,7,11,20,43,32,1,43,2280,71,9,3,1,1,4,9,0,15,0,113,37,3,1,2,11,0,31,7,5,2,70,0,4,0,1,0,0,2,0,0,466,38,248,4,0,1727,0,0,95,1,5,0,2,0,0,0,1,1,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,182,22672
1,1,26922,15,4,15,48,35,1,33,2677,92,14,4,2,4,1,10,1,16,0,170,31,5,0,0,12,0,32,13,4,0,89,2,0,1,1,0,1,3,0,0,623,48,282,5,0,1957,2,0,84,1,9,0,6,0,2,0,1,1,2,1,0,0,0,7,2,0,0,0,0,0,0,0,0,1,1,0,197,23330
1,2,25771,10,9,21,36,38,2,31,2624,88,14,2,2,5,0,16,0,13,0,148,30,2,0,1,7,3,26,7,7,3,64,1,2,0,2,0,1,1,0,0,541,36,256,6,0,1876,2,2,57,0,7,0,4,0,0,0,2,3,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,1,191,22151
2,1,28101,18,4,19,42,31,2,44,2800,97,9,1,1,4,4,9,0,18,0,158,36,4,0,0,7,0,44,2,3,2,93,0,1,0,0,0,3,1,0,0,619,58,285,4,0,2056,0,0,86,0,6,0,0,0,0,1,0,2,3,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,216,22906
2,2,26387,14,10,26,38,42,4,38,2866,87,11,3,1,2,5,8,0,14,0,158,34,4,0,0,8,1,28,11,2,1,72,1,3,1,1,1,3,0,0,0,599,62,289,3,0,2069,1,1,50,0,8,3,2,0,0,0,1,1,1,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,220,21985
3,1,28472,23,6,28,48,38,2,41,2861,100,18,3,1,2,6,8,1,16,0,163,38,4,2,3,7,0,35,13,0,1,79,3,0,0,1,4,1,0,1,0,654,61,306,9,0,2247,0,2,60,0,8,1,3,0,1,0,1,2,2,0,0,0,0,9,1,0,0,0,0,0,1,1,0,0,0,0,223,22990
3,2,27185,24,13,14,51,37,4,34,2763,95,10,3,4,4,2,5,0,16,0,156,33,4,0,1,7,2,30,1,2,1,72,0,0,0,3,2,0,2,0,0,610,47,266,7,0,2203,0,0,50,0,6,2,5,0,0,0,3,1,2,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,1,0,182,21857
4,1,28210,23,13,20,65,41,6,49,2853,119,8,3,1,9,3,10,0,15,0,151,27,4,0,1,10,0,42,6,2,0,68,1,6,1,2,3,0,2,0,0,690,58,274,5,0,2332,1,1,52,0,12,2,6,0,0,1,1,0,1,1,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,1,215,22436
4,2,26778,23,13,20,46,35,3,40,2809,110,7,5,2,5,3,15,0,21,0,161,35,6,0,1,7,2,22,2,2,0,81,1,2,1,3,1,2,0,0,0,611,49,279,0,0,2374,1,1,48,0,9,1,2,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,205,21331
5,1,28380,33,5,26,63,46,4,46,2754,103,6,4,3,5,3,11,1,28,1,146,38,5,0,1,6,0,29,11,4,4,71,1,1,0,3,3,1,2,0,0,679,58,286,4,0,2350,5,0,49,0,4,2,4,0,1,0,3,4,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,209,21985
5,2,26507,26,10,19,65,33,2,47,2772,108,7,6,2,4,4,6,0,24,1,173,29,5,1,3,6,3,26,10,0,2,59,0,1,1,1,3,3,1,0,0,652,62,291,5,0,2583,0,3,35,0,5,0,8,0,0,0,2,3,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,204,20741
6,1,28309,35,15,15,59,38,4,50,2904,109,9,7,5,8,6,8,0,24,0,171,37,8,0,4,8,2,32,6,4,3,64,0,2,1,2,3,1,2,0,0,729,45,301,2,0,2712,0,3,53,0,5,0,0,0,0,1,1,3,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,208,21093
6,2,26180,29,10,22,68,42,1,41,2874,108,10,5,6,4,7,9,0,21,0,136,28,5,0,4,9,2,33,13,5,1,55,0,2,0,1,0,1,2,0,0,697,36,288,2,0,2633,0,0,31,0,5,1,1,0,1,1,3,2,1,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,1,0,239,20139
7,1,27201,32,10,25,56,53,6,51,2898,112,11,6,4,2,5,10,0,20,0,168,37,4,0,1,9,3,24,8,1,0,58,3,1,0,3,2,0,0,0,0,696,60,303,5,0,2878,0,1,49,0,4,0,0,0,0,0,2,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,225,20507
7,2,26012,20,16,20,68,40,3,38,2879,107,9,2,2,2,3,6,0,28,0,164,44,2,0,0,8,0,30,6,4,3,67,0,0,0,0,4,1,1,0,0,733,66,280,1,0,2676,3,2,36,0,3,1,8,0,0,1,4,2,3,0,0,0,0,6,1,0,0,1,0,0,0,1,0,1,0,0,191,19412
8,1,27708,21,10,28,52,49,3,48,3023,110,12,5,3,5,5,9,1,35,0,174,38,3,0,3,13,2,24,17,2,2,61,1,0,1,1,0,2,0,0,0,711,49,275,9,0,2851,2,1,59,1,3,4,6,0,0,1,0,3,1,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,254,20044
8,2,26334,32,11,31,87,32,4,50,2999,120,11,4,2,9,8,6,0,26,0,159,46,1,0,2,6,1,32,15,2,5,52,2,1,1,2,4,1,1,0,0,709,68,293,6,0,2827,4,2,26,0,9,0,5,0,0,1,0,1,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,226,19081
9,1,28078,26,11,18,99,41,4,45,3014,122,11,3,2,10,8,11,0,37,1,185,41,6,0,2,10,3,19,10,2,0,59,1,3,0,3,1,2,2,0,0,721,47,299,8,0,2866,2,2,65,0,6,0,9,0,0,1,1,3,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,242,19966
9,2,26192,29,17,22,63,53,2,40,3039,113,5,6,2,1,4,7,1,27,0,169,42,3,0,3,10,1,18,16,1,2,44,2,0,0,2,2,2,0,0,0,772,76,297,5,0,2935,2,0,25,1,4,0,1,0,1,1,1,3,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,251,18849
10,1,29982,27,10,31,78,37,2,42,3201,113,7,4,6,7,4,7,0,28,0,151,37,5,0,2,8,2,34,11,1,2,60,1,2,0,1,0,0,0,0,0,809,78,347,8,0,3048,0,1,58,0,8,3,6,0,0,1,3,2,1,0,0,0,0,5,1,0,1,1,0,0,0,0,0,0,2,1,235,20796
10,2,28214,16,22,19,78,62,0,45,3204,145,12,7,1,9,1,9,0,35,0,175,41,0,0,1,16,0,25,11,0,3,60,1,0,0,5,1,3,3,0,0,822,72,327,7,0,3064,4,8,36,0,1,1,5,0,0,0,1,4,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,231,19642
11,1,31093,30,16,30,81,40,4,48,3259,130,8,9,1,8,9,15,0,36,0,193,45,4,0,2,5,3,29,9,1,3,54,1,2,0,2,3,2,3,0,0,799,75,285,6,0,3081,1,0,84,0,4,1,4,0,0,0,1,3,1,0,0,0,0,9,3,0,0,1,0,0,1,0,0,0,0,0,235,21225
11,2,29425,27,17,35,76,56,6,38,3251,131,5,4,2,3,6,11,0,44,0,185,39,3,0,0,16,3,19,14,0,0,52,2,1,1,2,2,0,2,0,0,843,93,315,5,0,3208,2,3,41,1,7,1,4,0,0,0,1,2,2,0,0,0,0,5,0,0,1,2,0,0,1,2,0,0,0,0,264,20084
12,1,31456,37,19,15,73,54,3,32,3236,174,8,3,4,8,6,15,2,30,0,203,42,2,0,2,11,1,27,10,1,1,76,1,1,0,2,4,0,0,0,0,853,73,322,6,0,3151,1,1,89,0,3,0,6,0,0,0,0,2,5,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,215,20867
12,2,29926,41,15,29,80,43,3,29,3176,128,5,6,4,8,9,9,1,58,0,146,41,4,0,1,17,0,26,8,1,2,45,1,1,1,1,2,1,1,0,0,781,59,288,5,0,3177,2,5,38,2,6,0,3,0,0,0,2,1,2,0,2,0,0,7,1,0,0,1,0,0,0,1,0,0,0,0,260,19961
13,1,31090,30,10,28,78,51,3,29,3038,139,10,3,4,10,7,2,0,44,0,173,37,4,1,2,17,2,20,16,1,1,56,0,2,0,5,1,0,2,0,0,783,76,317,7,0,2973,1,4,120,1,1,3,8,0,0,0,2,1,3,0,0,0,0,10,0,0,0,2,0,0,0,1,0,0,0,0,226,20362
13,2,29194,27,16,27,68,46,3,36,3028,133,6,8,1,9,7,8,0,42,0,168,52,7,0,1,20,1,18,16,3,3,58,1,3,0,4,3,1,2,1,0,803,77,277,2,0,3224,0,2,51,3,7,0,3,0,1,0,1,3,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,250,19673
14,1,29006,24,19,30,96,43,6,27,2971,116,5,4,4,13,9,10,0,29,0,167,45,1,0,0,11,1,17,13,4,0,55,0,3,0,5,2,1,2,0,0,738,77,265,2,0,2839,3,3,141,1,4,3,3,0,0,0,1,4,0,0,0,0,0,17,2,0,0,2,0,0,0,0,0,0,0,0,192,19029
14,2,26870,35,23,30,77,40,4,43,2849,143,5,7,0,6,2,8,1,41,0,155,46,4,0,2,15,3,23,12,0,0,56,0,2,0,3,2,2,2,0,0,741,57,296,9,0,3107,2,2,49,2,10,0,3,0,0,0,1,2,1,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,1,1,231,18006
15,1,28014,32,10,25,72,35,4,34,2794,123,4,9,0,11,8,4,0,38,1,139,41,7,0,1,15,1,25,9,1,1,83,0,0,0,2,0,2,0,0,0,619,72,269,7,0,2939,0,0,220,2,3,2,5,0,0,0,0,2,1,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,190,17385
15,2,25865,35,22,37,79,35,11,30,2786,124,6,6,2,9,5,8,1,46,0,125,37,4,0,1,19,1,20,24,2,0,63,0,3,2,2,2,0,3,0,0,705,55,280,5,0,3137,1,1,56,1,15,1,6,0,0,0,1,2,2,0,0,0,0,11,2,0,1,0,0,0,0,1,0,0,0,0,211,16523
16,1,27027,34,17,31,84,46,6,26,2619,116,3,4,1,10,9,7,0,38,0,158,52,4,0,1,17,3,23,21,5,1,107,0,2,0,3,1,4,0,0,0,673,65,235,12,0,2904,2,1,269,1,4,4,3,0,0,0,1,1,3,0,0,0,0,22,6,0,0,1,0,0,0,1,0,1,0,1,230,16308
16,2,24631,36,13,28,61,35,5,37,2631,106,4,1,5,6,7,10,0,44,0,142,36,2,0,0,24,1,22,20,1,1,62,1,2,0,1,4,0,0,0,0,628,69,290,1,0,3312,3,1,79,2,18,1,1,0,1,0,4,2,0,0,0,0,0,16,8,0,0,1,0,0,1,1,0,0,0,0,199,15587
17,1,25897,32,19,32,70,33,6,24,2468,109,5,8,3,9,6,7,0,44,0,164,48,7,0,0,19,0,18,15,0,2,108,1,5,0,1,0,1,2,0,0,580,56,236,7,0,2894,3,2,285,2,5,3,0,0,0,0,1,0,2,0,0,0,0,24,3,0,1,0,0,0,0,1,0,0,0,2,191,15922
17,2,24077,41,16,27,67,29,6,23,2398,94,4,8,2,5,8,6,0,47,0,160,29,2,1,1,15,0,13,18,2,0,62,1,2,1,0,0,0,1,0,0,617,61,249,5,0,3293,1,0,107,0,16,0,2,0,0,0,3,2,1,0,0,0,0,13,3,0,0,1,0,0,1,0,2,0,0,0,199,15024
18,1,26151,31,20,24,67,34,2,19,2312,114,1,5,2,6,6,5,0,45,0,159,34,5,0,1,22,0,39,13,4,1,200,1,4,0,2,2,0,2,0,0,582,65,246,4,0,3198,3,2,489,4,14,2,5,0,0,0,1,3,1,0,0,0,0,43,15,2,0,0,0,0,0,2,2,0,1,1,226,14649
18,2,24446,27,22,22,73,32,1,20,2328,111,5,5,1,12,6,6,0,52,0,155,27,0,0,1,17,1,25,23,4,3,92,0,2,2,1,1,0,1,0,0,613,40,283,11,0,3760,0,4,115,0,28,2,8,0,0,0,1,1,0,0,0,0,0,18,11,2,0,1,0,0,2,0,0,0,0,0,190,13856
19,1,25717,31,17,24,55,33,9,20,2211,99,3,8,3,10,4,11,0,37,0,174,26,1,0,2,21,3,48,25,6,1,298,0,4,0,0,3,1,0,1,0,547,50,261,10,0,3343,2,1,579,4,10,10,4,0,1,0,0,1,1,0,0,0,0,44,15,1,0,1,0,1,1,1,1,0,0,2,214,14753
19,2,24318,34,23,33,70,40,3,16,2299,83,5,3,0,11,9,3,0,40,0,163,40,2,1,1,9,0,28,17,7,0,103,1,2,1,1,5,2,0,0,1,532,58,281,1,0,4052,0,1,166,2,28,2,2,0,1,1,2,2,0,0,0,0,0,20,7,0,0,1,0,0,1,0,0,0,0,0,167,13717
20,1,25719,32,19,23,80,30,10,22,2121,106,6,4,3,5,6,9,2,53,0,188,34,3,1,3,22,0,44,27,8,0,339,1,1,0,1,6,2,0,0,0,543,64,258,15,0,3690,0,4,598,3,18,11,5,0,0,0,2,1,1,0,1,0,0,54,18,1,0,0,0,0,0,3,1,0,0,1,197,14638
20,2,24175,33,22,30,78,23,4,26,2217,87,3,5,0,10,10,3,0,61,0,172,20,3,0,2,26,0,36,25,8,2,113,0,0,1,0,4,0,0,0,0,561,79,301,2,0,4180,1,0,126,2,25,1,1,0,0,1,3,3,0,0,0,0,0,19,8,1,0,1,0,0,0,1,1,0,0,0,214,13185
21,1,25191,33,22,27,70,36,6,28,2175,81,7,5,2,4,6,8,0,45,0,220,25,2,0,0,12,2,60,26,7,3,362,0,1,0,2,4,1,0,0,0,542,48,284,8,0,3720,1,0,615,0,45,13,2,0,1,0,3,1,2,0,0,0,0,36,11,5,0,2,0,0,0,0,3,2,3,3,228,14471
21,2,24246,36,17,27,67,28,6,40,2129,96,3,3,0,6,10,6,0,54,1,187,25,0,0,1,14,1,29,22,11,1,120,0,3,0,2,3,0,0,0,0,564,77,324,4,0,4390,1,2,120,3,38,1,7,0,0,1,2,2,0,0,0,0,1,19,9,1,0,1,0,0,0,0,0,0,1,0,201,12827
22,1,25576,24,19,25,42,31,3,35,2088,96,2,2,0,6,8,6,0,46,0,223,21,2,2,5,21,0,67,26,14,2,422,0,2,0,1,3,0,0,1,0,522,57,288,9,0,3938,0,2,546,2,34,16,4,0,1,0,0,1,2,0,0,0,0,52,23,1,0,1,0,0,0,4,0,0,1,6,232,14352
22,2,24386,31,22,30,69,29,3,33,2218,82,11,3,2,6,8,4,0,51,0,237,40,5,3,1,16,1,29,24,14,3,121,1,4,0,0,2,1,0,0,0,575,60,355,7,0,4607,3,2,143,3,38,4,2,0,0,0,2,0,0,0,0,0,0,23,4,1,0,0,0,0,1,0,0,1,1,1,250,12884
23,1,25360,34,17,31,44,41,7,38,1959,100,10,5,0,6,6,6,1,61,0,205,31,2,1,3,17,0,65,34,35,0,431,1,1,0,0,4,0,0,0,0,526,68,305,4,0,3961,0,0,559,7,31,15,6,0,0,1,0,1,1,0,0,0,0,58,22,3,0,0,0,0,3,2,2,1,2,1,243,14602
23,2,24333,42,24,25,54,38,7,39,2160,91,1,5,0,4,4,8,2,63,0,246,39,2,0,1,19,0,37,19,16,3,137,0,2,0,1,4,0,1,1,0,563,74,342,10,0,4815,1,0,122,1,30,3,2,0,1,0,0,1,1,0,0,0,0,17,9,0,0,2,0,0,0,1,1,0,0,0,268,13082
24,1,25624,34,19,33,47,28,4,47,1877,73,6,4,3,8,3,10,0,57,0,276,31,1,0,5,18,2,84,35,29,6,400,2,3,0,1,2,2,0,1,0,555,62,370,7,0,4401,0,1,521,5,41,12,2,0,0,0,1,1,0,0,1,0,0,53,18,0,2,0,0,0,1,2,1,4,1,4,266,14758
24,2,24350,34,24,39,73,29,4,47,2112,63,7,6,3,7,6,7,0,56,0,305,32,0,0,0,21,0,30,25,14,5,146,1,2,0,0,3,0,1,0,0,627,73,381,9,0,4934,0,2,111,1,53,2,2,0,1,0,0,2,0,0,0,0,0,10,6,0,0,1,0,0,0,1,1,1,1,1,273,12843
25,1,26711,43,24,43,50,37,4,42,1984,98,7,2,0,2,6,8,2,68,1,320,25,2,1,3,22,2,77,29,40,0,456,1,2,1,2,7,0,1,0,0,568,71,368,7,0,4800,0,2,559,7,46,32,3,0,1,0,1,2,0,0,0,0,0,57,22,3,0,0,0,0,2,3,0,0,2,8,253,15574
25,2,25825,45,18,35,59,37,3,41,2159,81,4,2,1,1,4,6,0,42,0,350,31,3,0,3,17,0,34,37,14,5,141,1,2,0,0,5,1,0,0,1,620,71,471,8,1,5309,0,1,116,1,49,6,3,0,0,1,0,3,1,0,2,0,0,21,7,0,0,0,0,0,0,1,0,0,0,0,316,13439
26,1,29118,40,13,39,50,39,5,53,2050,68,7,12,0,4,3,8,1,43,1,311,27,2,4,0,15,0,88,40,29,2,483,4,1,1,0,9,0,1,0,0,602,74,407,8,0,5266,1,6,648,6,59,27,8,0,1,0,1,4,0,0,0,0,0,72,21,3,1,0,0,0,5,7,1,1,4,7,323,17117
26,2,28067,38,28,36,67,40,6,61,2312,88,14,7,1,8,11,8,1,69,0,320,31,5,1,3,13,2,41,32,10,1,175,3,3,0,0,5,0,3,0,0,672,65,468,6,0,5863,1,3,149,1,51,6,2,0,1,0,3,4,2,0,0,0,0,16,10,3,0,0,0,0,2,0,1,0,0,0,279,14951
27,1,33131,34,15,34,62,50,6,75,2302,92,8,2,2,4,5,7,1,56,0,359,18,2,0,3,12,1,87,45,36,6,511,1,2,0,1,4,1,0,0,0,666,77,461,15,1,5930,2,2,677,4,64,30,3,0,1,0,4,2,3,0,1,0,0,65,23,2,1,2,0,0,1,3,0,2,3,5,334,19636
27,2,31748,40,25,41,69,49,3,68,2569,134,17,1,2,2,3,12,1,78,0,304,34,1,0,0,6,0,45,37,9,3,180,1,0,0,2,4,1,0,0,0,780,101,461,6,0,6407,0,4,197,3,48,3,7,0,2,0,2,3,1,0,1,0,0,17,8,2,1,0,0,0,1,0,1,0,1,0,331,16937
28,1,34128,33,21,41,56,51,7,48,2347,89,13,5,1,5,7,8,3,68,0,340,39,3,0,4,13,3,67,48,39,4,467,2,1,0,1,3,1,0,1,0,715,91,484,12,1,6057,0,3,758,7,81,29,3,0,0,0,1,1,1,1,2,0,0,73,14,2,0,0,0,0,4,1,2,1,3,8,360,19911
28,2,32109,54,17,38,61,38,8,58,2733,103,16,2,3,4,10,15,1,73,0,308,44,2,0,3,12,2,34,43,5,1,169,3,2,0,0,2,1,1,1,2,801,114,560,4,0,6713,0,0,154,3,45,6,7,0,0,0,0,3,1,2,1,0,0,24,9,0,0,0,0,0,1,1,3,0,0,1,348,17383
29,1,35217,29,14,38,70,48,6,66,2508,100,9,6,1,7,7,7,1,73,0,353,39,2,2,6,14,0,90,61,40,4,472,4,1,0,1,4,1,0,0,0,749,80,469,21,0,6434,0,1,764,4,72,32,2,0,0,0,1,3,0,1,0,0,0,76,20,2,1,0,1,0,4,1,2,3,8,3,365,20826
29,2,32988,27,24,47,74,47,3,63,2823,116,17,9,0,8,4,10,1,68,0,327,42,7,1,1,11,1,37,48,18,4,188,4,1,0,2,7,0,1,0,0,896,91,549,6,0,6745,0,2,158,2,53,1,3,0,1,0,1,0,3,0,0,0,1,31,12,3,0,1,1,0,2,1,2,1,4,1,379,18090
30,1,36848,37,29,55,54,55,3,52,2480,117,8,3,2,4,9,10,3,83,0,356,37,1,1,6,9,1,105,45,34,5,538,5,1,0,0,5,1,0,1,0,778,94,487,10,0,6430,5,2,784,13,61,20,3,0,1,0,0,4,1,0,0,0,1,94,20,4,2,2,0,1,3,3,1,2,6,7,398,21807
30,2,34677,35,16,51,74,65,6,71,2911,143,18,7,2,4,9,9,1,82,0,315,37,4,1,3,11,2,37,36,13,2,156,9,1,1,1,7,0,0,0,0,944,117,547,14,0,7279,0,3,160,4,53,5,7,0,0,0,1,2,0,1,1,0,0,14,7,0,1,1,0,0,1,1,1,0,0,2,381,18687
31,1,35377,33,12,44,56,64,10,60,2525,105,15,2,2,1,2,5,0,73,0,362,30,2,0,6,10,3,99,57,33,5,500,5,3,0,1,2,1,1,0,0,864,106,475,14,0,6411,0,2,664,7,69,22,3,0,0,0,0,6,4,1,1,0,0,89,22,1,0,0,0,0,1,2,1,1,5,8,372,20929
31,2,33493,39,18,46,65,55,6,65,2989,129,15,1,1,8,4,13,0,88,0,362,44,5,2,3,7,3,47,42,12,8,186,11,2,1,2,7,0,1,0,1,965,104,577,10,0,7091,2,1,129,5,65,1,4,0,0,0,2,4,0,0,0,0,0,21,6,0,0,1,0,0,0,0,1,0,0,1,393,18115
32,1,35967,32,23,51,82,64,5,60,2652,130,12,5,4,1,6,6,3,83,0,367,27,2,0,3,17,3,87,63,39,6,525,9,3,0,0,3,0,1,0,0,826,92,528,15,1,6638,0,1,598,4,68,16,2,0,0,0,2,3,3,0,0,0,0,85,27,2,1,0,0,0,2,3,1,5,7,2,417,21511
